cityID,time,t,fid,x,y,PC1,PC2,PC3,PC4,co2_norm
9,2005,2,40,120.5538215,32.20300618,1.758094175,-0.912556745,1.341988006,0.175994317,0.5349591444101827
10,2005,2,41,120.0709758,29.17555776,-1.495727993,-2.35134247,1.179431827,-2.0885678,0.9576925403086389
11,2005,2,42,117.2258163,31.82631484,2.502453212,-0.181377133,-0.969410981,0.643256194,0.7739514458894009
12,2005,2,43,117.9817861,26.08380415,-0.419994066,-2.501258138,0.556539529,-2.532666235,0.9587922812513965
13,2005,2,44,111.7080139,27.60713887,0.81509325,-2.318130634,-1.528662239,-3.511738513,0.9821179297059675
14,2005,2,45,115.7205187,27.61361806,0.513736977,0.51502154,2.118510067,2.429335429,0.95836508621521
15,2005,2,46,118.1537918,36.35127141,2.931522907,0.810404122,-0.563239147,2.707014879,0.6733824208939285
16,2005,2,47,113.6135136,33.88226127,1.57651449,-1.879135165,0.211793256,-1.467205809,0.7789604785055875
17,2005,2,48,112.268591,30.97568911,1.443305477,-1.714100024,-0.717335923,-2.783507109,0.8887005269112351
18,2005,2,49,113.4276925,23.71031747,0.851400372,-2.303508162,-0.515773622,-2.753433846,0.9134807849335658
19,2005,2,50,108.7866601,23.82858447,1.563839449,-1.712412033,-1.949422263,-2.206651904,0.9996574795663719
20,2005,2,51,109.74311,19.19713384,0.004578099,-2.89906355,-0.762739701,-2.712880811,0.9874456669889006
21,2005,2,52,107.8751823,30.05912925,1.71376765,-0.021611556,-2.243000629,-1.070447307,0.9346550218389912
22,2005,2,53,102.6923498,30.62979532,2.874063302,0.140132835,-1.52014598,-0.339243205,0.7945169371314597
23,2005,2,54,106.8741124,26.81589901,1.650727218,-0.323665362,-3.253651527,-0.756157957,0.9781421921784188
24,2005,2,55,101.861664,24.22399975,1.819687146,0.335014474,-2.425130294,-0.299168095,0.9433296112259707
25,2005,2,56,88.44235547,31.49119642,-3.930621552,-0.544431995,-2.186606568,0.487933943,0.4001682028991643
26,2005,2,57,108.367283,33.77575343,1.740461127,1.233458432,-2.151450891,2.069718346,0.7675323470623794
27,2005,2,58,96.43045075,40.50407365,-0.007120314,-0.201734554,-2.993002755,1.588051787,0.28530975013936033
28,2005,2,59,96.03756481,35.67094527,-3.050527055,-2.382472059,-3.969097624,0.658696117,0.18396512911700852
29,2005,2,60,105.9722025,37.19338985,0.194427246,0.093200813,-2.362733965,1.345807698,0.5676266354311467
30,2005,3,61,85.19105645,41.11736074,-2.732558458,-1.901356192,1.999907971,1.022498898,0.0025916893759246997
0,2010,3,62,116.4104734,40.18506957,-2.662375619,1.954406384,3.109197983,1.948358198,0.7456974721338236
1,2010,3,63,117.3328025,39.2945395,-2.844561174,1.42456456,3.694400904,2.757799693,0.4165869899354827
2,2010,3,64,115.0556983,38.8862,0.142200844,2.207986068,0.5821779,2.928867672,0.7654544383368967
3,2010,3,65,112.2910057,37.57371516,0.393783726,2.681354445,-2.415040607,1.964317818,0.8237193846038053
4,2010,3,66,111.624073,41.58407166,0.544309285,2.104313676,-1.946124122,0.47593588,0.39846486149822297
5,2010,3,67,124.0472795,41.55091067,-0.099354695,2.48704234,0.639140625,-0.598228535,0.8657919313571223
6,2010,3,68,126.1893961,43.66493432,0.93692093,3.552058663,-0.306789514,-0.925865167,0.860565773490734
7,2010,3,69,128.135853,46.95166178,3.671334515,3.212154301,-2.499113898,-0.681215737,0.8561795997243372
8,2010,3,70,121.4151598,31.08465728,-1.655587908,-2.897072114,2.833278432,-0.87052206,0.4513356246280787
9,2010,3,71,120.5538215,32.20300618,1.952612444,-0.409369348,1.82879745,0.756097122,0.5153696164005297
10,2010,3,72,120.0709758,29.17555776,-2.36235985,-2.417672946,2.409268021,-1.931130565,0.9513847234786209
11,2010,3,73,117.2258163,31.82631484,2.515697387,0.232286467,-0.150190043,1.013178951,0.7672252544824618
12,2010,3,74,117.9817861,26.08380415,-1.246545029,-2.784744396,2.060085169,-2.402963197,0.954235288328782
13,2010,3,75,111.7080139,27.60713887,0.310700614,-2.044457571,-0.824653348,-3.544601154,0.9799357944476981
14,2010,3,76,115.7205187,27.61361806,0.638240019,1.38104072,2.643889796,2.995104766,0.9578905554418721
15,2010,3,77,118.1537918,36.35127141,2.996014018,1.269248079,0.87438646,2.902562476,0.6645647961576546
16,2010,3,78,113.6135136,33.88226127,1.790269095,-1.499004918,0.866197381,-0.694976098,0.7766948443045745
17,2010,3,79,112.268591,30.97568911,1.137485934,-1.756820068,-0.02099646,-2.932021743,0.8853796951243892
18,2010,3,80,113.4276925,23.71031747,0.083153794,-2.342639074,0.907532759,-2.465813589,0.9099029886841803
19,2010,3,81,108.7866601,23.82858447,1.034111401,-1.856967054,-0.52245821,-2.197362521,0.9988292558278471
20,2010,3,82,109.74311,19.19713384,-0.944833299,-3.131161486,0.653872886,-2.399430401,0.9855895884108694
21,2010,3,83,107.8751823,30.05912925,0.997610021,-0.392597105,-1.039713499,-1.426979598,0.9279086899192533
22,2010,3,84,102.6923498,30.62979532,2.707437743,0.202326147,-1.000939255,-0.193085908,0.7938959900460301
23,2010,3,85,106.8741124,26.81589901,0.732843171,-0.406934373,-2.47040303,-1.005378326,0.9775119835731272
24,2010,3,86,101.861664,24.22399975,1.455677168,0.213709977,-1.936305807,-0.392120384,0.9429806224053702
25,2010,3,87,88.44235547,31.49119642,-6.644054668,-0.538332696,-0.339730687,1.108367373,0.40016276340269596
26,2010,3,88,108.367283,33.77575343,1.4863073,1.293922823,-1.195065621,2.164702977,0.7679180869184796
27,2010,3,89,96.43045075,40.50407365,-0.376283063,0.098309875,-1.963636475,1.753457379,0.2858074343360218
28,2010,3,90,96.03756481,35.67094527,-3.633143172,-2.209315528,-3.313622406,0.729773452,0.18370941482793413
29,2010,3,91,105.9722025,37.19338985,-0.438104648,0.10482611,-0.851278347,0.720076359,0.5708097245958552
30,2010,3,92,85.19105645,41.11736074,-2.066040752,-1.750294911,2.433911765,1.540842192,0.003883712416824791
0,2015,4,93,116.4104734,40.18506957,-3.855057228,1.034087604,4.884083134,1.602295389,0.7384649966012555
1,2015,4,94,117.3328025,39.2945395,-2.078551523,2.029481999,2.324270765,2.430859747,0.40585845360655004
2,2015,4,95,115.0556983,38.8862,-0.016482094,2.479083832,1.28103596,2.864909604,0.7624161487638684
3,2015,4,96,112.2910057,37.57371516,-0.012197071,3.2200233,-1.09619193,1.795522157,0.8209337964093265
4,2015,4,97,111.624073,41.58407166,0.624283962,2.703322506,-0.51574252,0.48559801,0.3979919474452968
5,2015,4,98,124.0472795,41.55091067,-0.549435972,2.682322703,0.980442682,-0.522197499,0.8632358166042192
6,2015,4,99,126.1893961,43.66493432,0.672090658,4.021538279,0.776353243,-1.228177283,0.860017152816489
7,2015,4,100,128.135853,46.95166178,3.121644206,3.962949106,-0.739192379,-0.919750474,0.8586604481638549
8,2015,4,101,121.4151598,31.08465728,-1.956052445,-2.970555589,2.89799678,-1.163999269,0.4163264984934977
9,2015,4,102,120.5538215,32.20300618,1.793984764,-0.249551746,2.0649636,0.815101457,0.5025617006423511
10,2015,4,103,120.0709758,29.17555776,-2.69154414,-1.984547024,3.030000012,-1.470684254,0.9361643168994042
11,2015,4,104,117.2258163,31.82631484,2.015765279,0.486475038,0.956910271,1.279834441,0.7584981841531481
12,2015,4,105,117.9817861,26.08380415,-1.805352517,-2.81501883,2.476808075,-2.210060386,0.9519132051453933
13,2015,4,106,111.7080139,27.60713887,0.755350031,-2.123787865,-0.695358858,-3.663193018,0.9727272806986594
14,2015,4,107,115.7205187,27.61361806,0.566977734,1.721220942,2.524272174,3.184588151,0.9493638523180848
15,2015,4,108,118.1537918,36.35127141,2.972815947,1.608575201,1.381920701,3.059231968,0.6584014846280315
16,2015,4,109,113.6135136,33.88226127,1.594275153,-1.212930032,1.125728828,-0.525096385,0.7711261660045583
17,2015,4,110,112.268591,30.97568911,0.942383887,-1.721263896,0.147413698,-2.653087373,0.8740850439719914
18,2015,4,111,113.4276925,23.71031747,-0.042505506,-2.459273629,1.136806273,-2.380830089,0.9030421405739526
19,2015,4,112,108.7866601,23.82858447,0.626873182,-1.770518182,0.218035068,-2.011979847,0.9930559472383143
20,2015,4,113,109.74311,19.19713384,-2.091684561,-3.753742981,2.088355766,-2.358561615,0.972413720484433
21,2015,4,114,107.8751823,30.05912925,0.441566586,-0.744740025,-0.91834346,-1.717447786,0.9172189624068287
22,2015,4,115,102.6923498,30.62979532,2.315579892,0.242734661,-0.554930207,-0.271935301,0.7902812959918337
23,2015,4,116,106.8741124,26.81589901,0.161077022,-0.916827812,-2.997574901,-0.941388728,0.970105014382922
24,2015,4,117,101.861664,24.22399975,1.26315042,0.045169517,-1.113427866,-0.449465357,0.9387004386614828
25,2015,4,118,88.44235547,31.49119642,-8.189952862,-0.344832759,0.615376984,1.487129741,0.3992541281456026
26,2015,4,119,108.367283,33.77575343,1.14367301,1.017256032,-0.147896526,2.030684027,0.7625760896798124
27,2015,4,120,96.43045075,40.50407365,-0.833179052,0.490420092,-0.378689379,1.406702357,0.2847077671542512
28,2015,4,121,96.03756481,35.67094527,-3.401468823,-2.204996985,-2.915872037,0.288100872,0.1824650218154705
29,2015,4,122,105.9722025,37.19338985,-1.084553264,0.061024164,-0.018307465,0.074471316,0.5671112380602931
30,2015,4,123,85.19105645,41.11736074,-2.715348762,-1.651146479,4.38234427,1.459951794,0.007077826591118052
0,2020,5,124,116.4104734,40.18506957,-7.489186015,0.045878154,9.576000306,2.033679141,0.69687550754192
1,2020,5,125,117.3328025,39.2945395,-1.208294564,2.780936644,2.60937091,1.880979379,0.3392307139245032
2,2020,5,126,115.0556983,38.8862,0.477736145,3.076284794,1.024509496,2.746499281,0.7208967808127351
3,2020,5,127,112.2910057,37.57371516,0.408751226,3.31380296,-1.27237908,1.314263749,0.7991181783670502
4,2020,5,128,111.624073,41.58407166,1.210107286,2.68692716,-0.654926124,0.074257094,0.39708845814604943
5,2020,5,129,124.0472795,41.55091067,-0.505260223,3.462188393,1.411276254,-0.970661812,0.8476630394889417
6,2020,5,130,126.1893961,43.66493432,0.431819586,4.392401049,0.328985208,-1.20237453,0.8602194310337123
7,2020,5,131,128.135853,46.95166178,3.76118497,4.089931059,-0.984107026,-0.98159517,0.851664944103002
8,2020,5,132,121.4151598,31.08465728,-2.831969606,-3.240943888,4.41772388,-2.439515115,0.31850432588432037
9,2020,5,133,120.5538215,32.20300618,1.561834692,0.071461993,2.317676191,1.147598988,0.4466779329047857
10,2020,5,134,120.0709758,29.17555776,-3.177973773,-2.316966906,3.282137968,-1.283432763,0.9219795567284558
11,2020,5,135,117.2258163,31.82631484,2.234709873,1.276512301,0.91087766,1.630064059,0.7382239088148614
12,2020,5,136,117.9817861,26.08380415,-2.876056655,-2.954118474,4.560866955,-1.996651011,0.9411096960416975
13,2020,5,137,111.7080139,27.60713887,0.587693277,-2.037184146,-0.881696539,-3.660257653,0.9651469927579694
14,2020,5,138,115.7205187,27.61361806,1.08336607,2.61269681,1.974221016,3.239908942,0.9379621822526738
15,2020,5,139,118.1537918,36.35127141,3.299666434,1.959655199,1.346209734,3.034012506,0.615987741375539
16,2020,5,140,113.6135136,33.88226127,1.673990167,-0.710383188,0.711251978,-0.561076922,0.7468182342052465
17,2020,5,141,112.268591,30.97568911,0.474667062,-1.591926807,0.680956458,-2.594245264,0.8689616426872896
18,2020,5,142,113.4276925,23.71031747,-0.321379402,-2.7437788,1.429336728,-2.507681148,0.8928942718101783
19,2020,5,143,108.7866601,23.82858447,0.03781328,-2.074788632,0.146944658,-1.823714852,0.9891936977634146
20,2020,5,144,109.74311,19.19713384,-3.405197631,-4.058668779,4.152199462,-2.034713964,0.9568062501146636
21,2020,5,145,107.8751823,30.05912925,-0.059734885,-0.966805023,-0.558542073,-1.947221761,0.9287671963063057
