cityID,time,t,fid,x,y,water,PC1,PC2,PC3,PC4,water_norm
3,2005,2,34,112.2910057,37.57371516,330835.5313,0.455310357,1.742899448,-2.379514027,1.310098941,0.234781905303758
4,2005,2,35,111.624073,41.58407166,161983.6875,0.003664002,1.06811287,-2.604268974,0.10414934,0.10797818430313447
5,2005,2,36,124.0472795,41.55091067,601079.625,0.241998647,2.204494397,1.026125179,-0.845575456,0.43772879583455115
6,2005,2,37,126.1893961,43.66493432,568896.3125,1.154420345,3.608638981,-0.61097382,-1.029866962,0.41355989316056163
7,2005,2,38,128.135853,46.95166178,535850,2.680020177,1.766102439,-3.060066196,-0.992196423,0.38874289800051576
8,2005,2,39,121.4151598,31.08465728,224380,-3.156404451,-3.828475468,4.166860928,-1.841805448,0.15483633179893175
9,2005,2,40,120.5538215,32.20300618,785540.0625,1.758094175,-0.912556745,1.341988006,0.175994317,0.576254199679759
10,2005,2,41,120.0709758,29.17555776,863450,-1.495727993,-2.35134247,1.179431827,-2.0885678,0.6347627107838943
11,2005,2,42,117.2258163,31.82631484,345810.0313,2.502453212,-0.181377133,-0.969410981,0.643256194,0.2460273988523682
12,2005,2,43,117.9817861,26.08380415,875396.4375,-0.419994066,-2.501258138,0.556539529,-2.532666235,0.6437342013735718
13,2005,2,44,111.7080139,27.60713887,805497.125,0.81509325,-2.318130634,-1.528662239,-3.511738513,0.5912414792278549
14,2005,2,45,115.7205187,27.61361806,860510.0625,0.513736977,0.51502154,2.118510067,2.429335429,0.6325548876051861
15,2005,2,46,118.1537918,36.35127141,528659.4375,2.931522907,0.810404122,-0.563239147,2.707014879,0.3833429564862997
16,2005,2,47,113.6135136,33.88226127,452144.25,1.57651449,-1.879135165,0.211793256,-1.467205809,0.32588186947825604
17,2005,2,48,112.268591,30.97568911,798560,1.443305477,-1.714100024,-0.717335923,-2.783507109,0.586031863251802
18,2005,2,49,113.4276925,23.71031747,1329500,0.851400372,-2.303508162,-0.515773622,-2.753433846,0.9847551825412009
19,2005,2,50,108.7866601,23.82858447,666622.75,1.563839449,-1.712412033,-1.949422263,-2.206651904,0.486950124716534
20,2005,2,51,109.74311,19.19713384,873485.5625,0.004578099,-2.89906355,-0.762739701,-2.712880811,0.6422991796710308
21,2005,2,52,107.8751823,30.05912925,559012.125,1.71376765,-0.021611556,-2.243000629,-1.070447307,0.4061371033001654
22,2005,2,53,102.6923498,30.62979532,246419.4375,2.874063302,0.140132835,-1.52014598,-0.339243205,0.17138742547292737
23,2005,2,54,106.8741124,26.81589901,667932.1875,1.650727218,-0.323665362,-3.253651527,-0.756157957,0.48793348115304663
24,2005,2,55,101.861664,24.22399975,784362.9375,1.819687146,0.335014474,-2.425130294,-0.299168095,0.5753702067856118
25,2005,2,56,88.44235547,31.49119642,316267.125,-3.930621552,-0.544431995,-2.186606568,0.487933943,0.22384137847079652
26,2005,2,57,108.367283,33.77575343,381986.0625,1.740461127,1.233458432,-2.151450891,2.069718346,0.2731947383611279
27,2005,2,58,96.43045075,40.50407365,71698.70313,-0.007120314,-0.201734554,-2.993002755,1.588051787,0.0401763071607118
28,2005,2,59,96.03756481,35.67094527,115420.0078,-3.050527055,-2.382472059,-3.969097624,0.658696117,0.07300996769049953
