cityID,time,t,fid,x,y,soil,PC1,PC2,PC3,PC4,es
12,2015,4,105,117.9817861,26.08380415,23253.10156,-1.805352517,-2.81501883,2.476808075,-2.210060386,0.8916474460124548
13,2015,4,106,111.7080139,27.60713887,10419.05957,0.755350031,-2.123787865,-0.695358858,-3.663193018,0.3979020129229274
14,2015,4,107,115.7205187,27.61361806,10859.87695,0.566977734,1.721220942,2.524272174,3.184588151,0.4148609389082935
15,2015,4,108,118.1537918,36.35127141,589.2304077,2.972815947,1.608575201,1.381920701,3.059231968,0.019733290963191978
16,2015,4,109,113.6135136,33.88226127,1555.061646,1.594275153,-1.212930032,1.125728828,-0.525096385,0.05689031159764201
17,2015,4,110,112.268591,30.97568911,10169.4209,0.942383887,-1.721263896,0.147413698,-2.653087373,0.38829802741851005
18,2015,4,111,113.4276925,23.71031747,9599.291016,-0.042505506,-2.459273629,1.136806273,-2.380830089,0.3663642495243595
19,2015,4,112,108.7866601,23.82858447,11587.79395,0.626873182,-1.770518182,0.218035068,-2.011979847,0.44286503104842134
20,2015,4,113,109.74311,19.19713384,6625.272949,-2.091684561,-3.753742981,2.088355766,-2.358561615,0.2519491775111041
21,2015,4,114,107.8751823,30.05912925,18332.46875,0.441566586,-0.744740025,-0.91834346,-1.717447786,0.702343095929992
22,2015,4,115,102.6923498,30.62979532,12482.69531,2.315579892,0.242734661,-0.554930207,-0.271935301,0.4772932696274979
23,2015,4,116,106.8741124,26.81589901,12012.25879,0.161077022,-0.916827812,-2.997574901,-0.941388728,0.45919484954366824
24,2015,4,117,101.861664,24.22399975,17019.69727,1.26315042,0.045169517,-1.113427866,-0.449465357,0.6518387479276071
25,2015,4,118,88.44235547,31.49119642,9706.802734,-8.189952862,-0.344832759,0.615376984,1.487129741,0.37050039149798486
26,2015,4,119,108.367283,33.77575343,5531.791992,1.14367301,1.017256032,-0.147896526,2.030684027,0.20988127488854802
27,2015,4,120,96.43045075,40.50407365,2727.075439,-0.833179052,0.490420092,-0.378689379,1.406702357,0.10197949381027435
28,2015,4,121,96.03756481,35.67094527,2631.001709,-3.401468823,-2.204996985,-2.915872037,0.288100872,0.09828338891484567
29,2015,4,122,105.9722025,37.19338985,603.3119507,-1.084553264,0.061024164,-0.018307465,0.074471316,0.02027502968841363
30,2015,4,123,85.19105645,41.11736074,1236.489258,-2.715348762,-1.651146479,4.38234427,1.459951794,0.0446343394100814
0,2020,5,124,116.4104734,40.18506957,2506.643555,-7.489186015,0.045878154,9.576000306,2.033679141,0.09349913850856005
1,2020,5,125,117.3328025,39.2945395,214.1490784,-1.208294564,2.780936644,2.60937091,1.880979379,0.005303332457265027
2,2020,5,126,115.0556983,38.8862,1503.212769,0.477736145,3.076284794,1.024509496,2.746499281,0.05489560515601452
3,2020,5,127,112.2910057,37.57371516,2303.957764,0.408751226,3.31380296,-1.27237908,1.314263749,0.08570150283490675
4,2020,5,128,111.624073,41.58407166,477.5549316,1.210107286,2.68692716,-0.654926124,0.074257094,0.015436962779488281
5,2020,5,129,124.0472795,41.55091067,2245.54248,-0.505260223,3.462188393,1.411276254,-0.970661812,0.08345417656621439
6,2020,5,130,126.1893961,43.66493432,1623.116089,0.431819586,4.392401049,0.328985208,-1.20237453,0.05950847121242924
7,2020,5,131,128.135853,46.95166178,1029.970215,3.76118497,4.089931059,-0.984107026,-0.98159517,0.036689232606884024
8,2020,5,132,121.4151598,31.08465728,236.8473053,-2.831969606,-3.240943888,4.41772388,-2.439515115,0.006176568331032404
